MS46322A								
!12/11/2019.11:49:53.PM								
!CHANNEL.1								
!TR.MEASUREMENT								
!RF.CORRECTION: ONE.PORT.CAL.PORT[1]								
!AVERAGING.OFF								
!IF.BANDWIDTH: 1KHZ								
!NUMBER.OF.TRACES: 4								
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           				
!PARAMETER:   	S11               	S12               	S21               	S22               				
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             				
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            				
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               				
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     				
!SWEEPTYPE: FREQ.SWEEP(Linear)								
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
149	3.22	-5.19E-01	3.22	-9.39E+01	3.22	-9.50E+01	3.22	-1.41E+00
150	3.235	-5.15E-01	3.235	-9.55E+01	3.235	-9.36E+01	3.235	-1.53E+00
151	3.25	-6.14E-01	3.25	-9.99E+01	3.25	-9.66E+01	3.25	-1.66E+00
152	3.265	-6.07E-01	3.265	-9.58E+01	3.265	-9.63E+01	3.265	-1.80E+00
153	3.28	-6.06E-01	3.28	-1.03E+02	3.28	-9.88E+01	3.28	-1.94E+00
154	3.295	-6.34E-01	3.295	-9.80E+01	3.295	-9.76E+01	3.295	-2.08E+00
155	3.31	-6.75E-01	3.31	-1.05E+02	3.31	-9.89E+01	3.31	-2.20E+00
156	3.325	-5.76E-01	3.325	-1.01E+02	3.325	-1.04E+02	3.325	-2.31E+00
157	3.34	-4.75E-01	3.34	-1.08E+02	3.34	-1.00E+02	3.34	-2.41E+00
158	3.355	-3.88E-01	3.355	-1.01E+02	3.355	-1.04E+02	3.355	-2.49E+00
159	3.37	-3.96E-01	3.37	-1.00E+02	3.37	-1.03E+02	3.37	-2.55E+00
160	3.385	-4.25E-01	3.385	-1.18E+02	3.385	-1.07E+02	3.385	-2.58E+00
161	3.4	-5.30E-01	3.4	-1.09E+02	3.4	-1.06E+02	3.4	-2.60E+00
162	3.415	-6.12E-01	3.415	-1.11E+02	3.415	-1.16E+02	3.415	-2.59E+00
163	3.43	-7.56E-01	3.43	-1.08E+02	3.43	-9.81E+01	3.43	-2.58E+00
164	3.445	-8.41E-01	3.445	-1.19E+02	3.445	-1.01E+02	3.445	-2.55E+00
165	3.46	-8.85E-01	3.46	-1.10E+02	3.46	-1.01E+02	3.46	-2.51E+00
166	3.475	-8.46E-01	3.475	-1.05E+02	3.475	-9.69E+01	3.475	-2.48E+00
167	3.49	-8.82E-01	3.49	-1.11E+02	3.49	-9.92E+01	3.49	-2.44E+00
168	3.505	-6.77E-01	3.505	-1.02E+02	3.505	-9.76E+01	3.505	-2.40E+00
169	3.52	-5.38E-01	3.52	-1.07E+02	3.52	-1.06E+02	3.52	-2.37E+00
170	3.535	-4.24E-01	3.535	-1.08E+02	3.535	-1.07E+02	3.535	-2.33E+00
171	3.55	-3.93E-01	3.55	-1.06E+02	3.55	-1.13E+02	3.55	-2.30E+00
172	3.565	-3.75E-01	3.565	-1.12E+02	3.565	-1.04E+02	3.565	-2.25E+00
173	3.58	-4.12E-01	3.58	-1.04E+02	3.58	-9.99E+01	3.58	-2.21E+00
174	3.595	-4.62E-01	3.595	-1.22E+02	3.595	-9.80E+01	3.595	-2.16E+00
175	3.61	-4.50E-01	3.61	-9.65E+01	3.61	-1.01E+02	3.61	-2.11E+00
176	3.625	-6.21E-01	3.625	-9.87E+01	3.625	-1.00E+02	3.625	-2.04E+00
177	3.64	-7.42E-01	3.64	-9.68E+01	3.64	-9.67E+01	3.64	-1.97E+00
178	3.655	-5.93E-01	3.655	-9.74E+01	3.655	-9.35E+01	3.655	-1.89E+00
179	3.67	-8.09E-01	3.67	-9.50E+01	3.67	-9.49E+01	3.67	-1.80E+00
180	3.685	-6.66E-01	3.685	-9.47E+01	3.685	-1.12E+02	3.685	-1.73E+00
181	3.7	-6.33E-01	3.7	-9.48E+01	3.7	-1.05E+02	3.7	-1.65E+00
182	3.715	-4.44E-01	3.715	-9.33E+01	3.715	-1.02E+02	3.715	-1.60E+00
183	3.73	-3.99E-01	3.73	-9.64E+01	3.73	-9.80E+01	3.73	-1.57E+00
184	3.745	-3.65E-01	3.745	-9.00E+01	3.745	-9.81E+01	3.745	-1.57E+00
185	3.76	-4.91E-01	3.76	-9.13E+01	3.76	-1.01E+02	3.76	-1.61E+00
186	3.775	-5.35E-01	3.775	-9.15E+01	3.775	-1.13E+02	3.775	-1.70E+00
187	3.79	-7.49E-01	3.79	-9.32E+01	3.79	-1.01E+02	3.79	-1.82E+00
188	3.805	-8.16E-01	3.805	-9.43E+01	3.805	-9.91E+01	3.805	-2.00E+00
189	3.82	-9.09E-01	3.82	-9.46E+01	3.82	-1.11E+02	3.82	-2.21E+00
190	3.835	-1.02E+00	3.835	-9.37E+01	3.835	-1.04E+02	3.835	-2.46E+00
191	3.85	-9.84E-01	3.85	-9.78E+01	3.85	-9.76E+01	3.85	-2.71E+00
192	3.865	-8.74E-01	3.865	-9.54E+01	3.865	-9.58E+01	3.865	-2.96E+00
193	3.88	-6.97E-01	3.88	-9.38E+01	3.88	-9.68E+01	3.88	-3.18E+00
194	3.895	-5.25E-01	3.895	-9.67E+01	3.895	-9.59E+01	3.895	-3.36E+00
195	3.91	-4.74E-01	3.91	-1.02E+02	3.91	-9.61E+01	3.91	-3.48E+00
196	3.925	-4.69E-01	3.925	-9.41E+01	3.925	-1.02E+02	3.925	-3.53E+00
197	3.94	-4.98E-01	3.94	-9.52E+01	3.94	-9.61E+01	3.94	-3.52E+00
198	3.955	-5.50E-01	3.955	-9.18E+01	3.955	-9.39E+01	3.955	-3.43E+00
199	3.97	-6.15E-01	3.97	-9.37E+01	3.97	-9.59E+01	3.97	-3.29E+00
200	3.985	-7.24E-01	3.985	-9.98E+01	3.985	-9.82E+01	3.985	-3.09E+00
201	4	-7.03E-01	4	-1.02E+02	4	-9.88E+01	4	-2.85E+00
202	4.015	-7.92E-01	4.015	-1.02E+02	4.015	-1.00E+02	4.015	-2.59E+00
203	4.03	-6.72E-01	4.03	-1.02E+02	4.03	-1.02E+02	4.03	-2.29E+00
204	4.045	-6.71E-01	4.045	-9.75E+01	4.045	-9.96E+01	4.045	-2.00E+00
205	4.06	-6.49E-01	4.06	-9.69E+01	4.06	-1.02E+02	4.06	-1.71E+00
206	4.075	-5.63E-01	4.075	-9.74E+01	4.075	-1.05E+02	4.075	-1.46E+00
207	4.09	-5.60E-01	4.09	-1.01E+02	4.09	-1.03E+02	4.09	-1.25E+00
208	4.105	-4.60E-01	4.105	-9.83E+01	4.105	-9.92E+01	4.105	-1.13E+00
209	4.12	-4.66E-01	4.12	-9.77E+01	4.12	-1.02E+02	4.12	-1.09E+00
210	4.135	-5.29E-01	4.135	-9.75E+01	4.135	-1.08E+02	4.135	-1.18E+00
211	4.15	-5.46E-01	4.15	-1.01E+02	4.15	-1.02E+02	4.15	-1.41E+00
212	4.165	-5.99E-01	4.165	-1.03E+02	4.165	-1.07E+02	4.165	-1.75E+00
213	4.18	-7.35E-01	4.18	-1.06E+02	4.18	-1.06E+02	4.18	-2.22E+00
214	4.195	-7.65E-01	4.195	-1.00E+02	4.195	-1.17E+02	4.195	-2.76E+00
215	4.21	-8.03E-01	4.21	-1.04E+02	4.21	-1.05E+02	4.21	-3.35E+00
216	4.225	-7.86E-01	4.225	-1.05E+02	4.225	-1.13E+02	4.225	-3.95E+00
217	4.24	-7.29E-01	4.24	-1.06E+02	4.24	-1.21E+02	4.24	-4.51E+00
218	4.255	-6.89E-01	4.255	-1.07E+02	4.255	-1.31E+02	4.255	-5.00E+00
219	4.27	-6.26E-01	4.27	-1.07E+02	4.27	-1.02E+02	4.27	-5.37E+00
220	4.285	-6.23E-01	4.285	-1.09E+02	4.285	-1.09E+02	4.285	-5.60E+00
221	4.3	-5.65E-01	4.3	-1.04E+02	4.3	-1.04E+02	4.3	-5.67E+00
222	4.315	-6.07E-01	4.315	-1.05E+02	4.315	-1.07E+02	4.315	-5.59E+00
