MS46322A
!12/11/2019.11:53:56.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: ONE.PORT.CAL.PORT[1]
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
77	2.140000000	-2.273631E+000	2.140000000	-1.098903E+002	2.140000000	-1.033157E+002	2.140000000	-4.850176E-001
78	2.155000000	-2.190445E+000	2.155000000	-9.920982E+001	2.155000000	-1.130472E+002	2.155000000	-7.464275E-001
79	2.170000000	-1.837090E+000	2.170000000	-1.016493E+002	2.170000000	-1.065759E+002	2.170000000	-1.046666E+000
80	2.185000000	-1.476561E+000	2.185000000	-9.821788E+001	2.185000000	-1.035567E+002	2.185000000	-1.367037E+000
81	2.200000000	-1.233863E+000	2.200000000	-9.948478E+001	2.200000000	-9.631646E+001	2.200000000	-1.685750E+000
82	2.215000000	-1.085705E+000	2.215000000	-9.507420E+001	2.215000000	-9.803697E+001	2.215000000	-1.998295E+000
83	2.230000000	-1.080072E+000	2.230000000	-9.314708E+001	2.230000000	-9.897579E+001	2.230000000	-2.260081E+000
84	2.245000000	-1.341736E+000	2.245000000	-9.707451E+001	2.245000000	-9.284929E+001	2.245000000	-2.470213E+000
85	2.260000000	-1.464034E+000	2.260000000	-1.167055E+002	2.260000000	-9.310826E+001	2.260000000	-2.609380E+000
86	2.275000000	-2.157070E+000	2.275000000	-1.043921E+002	2.275000000	-9.312453E+001	2.275000000	-2.665859E+000
87	2.290000000	-2.416017E+000	2.290000000	-9.394656E+001	2.290000000	-9.759233E+001	2.290000000	-2.635034E+000
88	2.305000000	-2.776405E+000	2.305000000	-9.623727E+001	2.305000000	-9.570347E+001	2.305000000	-2.522334E+000
89	2.320000000	-2.832053E+000	2.320000000	-9.692603E+001	2.320000000	-9.662663E+001	2.320000000	-2.334866E+000
90	2.335000000	-2.615906E+000	2.335000000	-9.875641E+001	2.335000000	-9.657662E+001	2.335000000	-2.083019E+000
91	2.350000000	-2.269897E+000	2.350000000	-9.598100E+001	2.350000000	-9.842441E+001	2.350000000	-1.787552E+000
92	2.365000000	-1.925030E+000	2.365000000	-1.008875E+002	2.365000000	-9.618583E+001	2.365000000	-1.466774E+000
93	2.380000000	-1.848270E+000	2.380000000	-9.043365E+001	2.380000000	-1.081415E+002	2.380000000	-1.150041E+000
94	2.395000000	-1.854717E+000	2.395000000	-9.902365E+001	2.395000000	-9.005042E+001	2.395000000	-8.576303E-001
95	2.410000000	-1.751217E+000	2.410000000	-1.083985E+002	2.410000000	-9.128712E+001	2.410000000	-6.176814E-001
96	2.425000000	-2.546631E+000	2.425000000	-1.026282E+002	2.425000000	-9.142796E+001	2.425000000	-4.404287E-001
97	2.440000000	-2.619748E+000	2.440000000	-9.893451E+001	2.440000000	-8.986382E+001	2.440000000	-3.451565E-001
98	2.455000000	-3.300908E+000	2.455000000	-9.986462E+001	2.455000000	-8.926052E+001	2.455000000	-3.379706E-001
99	2.470000000	-3.567457E+000	2.470000000	-9.785427E+001	2.470000000	-9.030384E+001	2.470000000	-4.162352E-001
100	2.485000000	-3.896224E+000	2.485000000	-9.851189E+001	2.485000000	-8.953967E+001	2.485000000	-5.691946E-001
101	2.500000000	-3.722715E+000	2.500000000	-9.558745E+001	2.500000000	-9.033173E+001	2.500000000	-7.790030E-001
102	2.515000000	-3.612334E+000	2.515000000	-9.546004E+001	2.515000000	-9.259948E+001	2.515000000	-1.027136E+000
103	2.530000000	-3.460312E+000	2.530000000	-9.795129E+001	2.530000000	-9.705132E+001	2.530000000	-1.296897E+000
104	2.545000000	-3.555033E+000	2.545000000	-1.047037E+002	2.545000000	-9.681882E+001	2.545000000	-1.570890E+000
105	2.560000000	-3.947417E+000	2.560000000	-9.429389E+001	2.560000000	-9.350430E+001	2.560000000	-1.832241E+000
106	2.575000000	-4.477812E+000	2.575000000	-1.011429E+002	2.575000000	-9.361459E+001	2.575000000	-2.060507E+000
107	2.590000000	-5.326693E+000	2.590000000	-9.634217E+001	2.590000000	-9.500199E+001	2.590000000	-2.246382E+000
108	2.605000000	-6.852808E+000	2.605000000	-9.289616E+001	2.605000000	-9.647395E+001	2.605000000	-2.386869E+000
109	2.620000000	-7.876411E+000	2.620000000	-9.342857E+001	2.620000000	-9.516243E+001	2.620000000	-2.456218E+000
110	2.635000000	-9.020628E+000	2.635000000	-9.226463E+001	2.635000000	-9.548392E+001	2.635000000	-2.457898E+000
111	2.650000000	-9.423527E+000	2.650000000	-9.256624E+001	2.650000000	-9.243898E+001	2.650000000	-2.389748E+000
112	2.665000000	-9.225899E+000	2.665000000	-9.297160E+001	2.665000000	-9.811783E+001	2.665000000	-2.250638E+000
113	2.680000000	-9.073227E+000	2.680000000	-8.841370E+001	2.680000000	-9.673604E+001	2.680000000	-2.048812E+000
114	2.695000000	-9.452579E+000	2.695000000	-9.086381E+001	2.695000000	-9.102947E+001	2.695000000	-1.796470E+000
115	2.710000000	-9.894015E+000	2.710000000	-9.133114E+001	2.710000000	-8.756435E+001	2.710000000	-1.506819E+000
116	2.725000000	-1.040337E+001	2.725000000	-9.332223E+001	2.725000000	-8.534589E+001	2.725000000	-1.204641E+000
117	2.740000000	-1.029478E+001	2.740000000	-9.792479E+001	2.740000000	-8.411538E+001	2.740000000	-9.048641E-001
